# Every bet actually placed in Session #6, from 2 Sep 2026 — PRE-ALFA 2, the long
# run: the engine and its rules are not touched while it runs.
#
# COLUMNS: fixture, rung, odds, side, cash-out multiple, probability
# override, note, STAKE. The stake is column 8 and is required — flat-unit
# ROI is stake-blind and stays right either way, but the money column is
# not, and stakes stopped being flat on 6 Sep when the size rose to 1.10.
#
# CONVENTION: a position struck AFTER kickoff must carry the words
# "in-play" in its note. The board reads that word to badge the card and
# to keep live strikes out of the board's own record — they are bought
# off a price the board never quoted and a score the engine cannot see.
# Record the score AT STRIKE only when it is known from the bettor or a
# timestamped slip: the score printed on a slip is the CURRENT one and
# says nothing about the moment the bet was struck.
#
# Earlier books are archived and deliberately not mixed in:
#   archive/2026-08-28-sessions-4-5-odds-layer/bets.tsv   113/143, ROI -0.3%
#   archive/2026-08-24-session-3-cup-run/bets.tsv         25/35, ROI -7.5%
#   archive/2026-08-23-first-calibrated-slate/bets.tsv   22/27, ROI +6.1%
#   archive/2026-08-pre-calibration/bets.tsv             ROI -10.1%
# The one carried-over settled row is Londrina v Juventude, kept by the bettor
# as the first row of this book.
#
# fixture   must match the fixture name in README.md's tables exactly; the
#           score, Tip 1 rung and Tip 1 probability are joined from there
# rung      the market ACTUALLY bought, which is often neither Tip 1 nor Tip 2
# odds      decimal price paid
# side      H or A for a team total, - for a match total
# cashout   1 if the position was closed early; the ledger still scores the bet
#           as if held to full time, because that is what tests the tip
# p_override  the probability to price against, for a bet struck IN PLAY where
#           the pre-match number no longer describes it
#
# fixture	rung	odds	side	cashout	[p_override]	note	stake
Vissel Kobe v Nagasaki	U4.5	1.29	-	0		TOTO — in-play. NO PLAY at first sight: orange bar 1.2707 against a panel best of 1.12 (Pinnacle), and the card claimed 89.5%. Outside the board's rule; logged as taken, not as a board play	0.90
Kawasaki v Shimizu	U4.5	1.23	-	0		TOTO — in-play. NO PLAY at first sight: orange bar 1.2707 against a panel best of 1.18 (1xBet), and the card claimed 89.3%. Outside the board's rule; logged as taken, not as a board play	0.90
Chongqing Tongliang Long v Shanghai Shenhua	U4.5	1.46	-	0		TOTO — in-play, struck 13:32 on a 13:00 kickoff (score at strike not recorded). NO PLAY at first sight: orange bar 1.2707 against a panel best of 1.16 (1xBet), card claimed 81.4%. Outside the board's rule; logged as taken, not as a board play	0.90
Örgryte v Hammarby	U4.5	1.31	-	0		TOTO — in-play, struck 15:11 on a 14:00 kickoff. NOT the card's lane: Athena starred O1.5 (81.3%), which was itself no play at a panel best of 1.08. Outside the board's rule; logged as taken, not as a board play	0.90
Eibar v Granada	U3.5	1.46	-	0		TOTO — in-play, struck at 1-0 in the 25th (his own account; the slip's 3-0 is the FINAL score, not the score at strike). This one IS the card's starred lane (U3.0 rung) and it was a PLAY pre-match: orange bar 1.2707, panel best 1.30 Pinnacle — the live price paid 1.46, better than the board ever offered. Still logged in-play, not as a board play	0.90
Frosinone v Venezia	U4.5	1.35	-	0		TOTO — in-play, struck 15:49 on a 15:00 kickoff (score at strike not recorded). NO PLAY at first sight: the card was GREEN, bar 1.2128, panel best 1.15 (1xBet). Outside the board's rule; logged as taken, not as a board play	0.90
Everton v Man United	O1.5	1.31	-	0		TOTO — in-play, struck 15:17 on a 15:00 kickoff (score at strike not recorded). The card's starred lane: it was a PLAY pre-match, orange bar 1.2707, panel best 1.37 Coolbet — the live price paid 1.31, under the board's own best. Still logged in-play, not as a board play	0.90
Brommapojkarna v Elfsborg	U4.5	1.38	-	0		TOTO — in-play, struck 16:40 on a 16:30 kickoff (score at strike not recorded). NO PLAY at first sight: orange bar 1.2707 against a panel best of 1.13 (Coolbet). Outside the board's rule; logged as taken, not as a board play	0.90
Santa Clara v Rio Ave	U3.5	1.46	-	0		TOTO — in-play, struck 16:49 on a 16:30 kickoff (score at strike not recorded). The card's starred lane (U3.0 rung) and a PLAY pre-match: orange bar 1.2707, panel best 1.31 Pinnacle; taken live at 1.46. Still logged in-play, not as a board play	0.90
Brøndby v Randers	U4.5	1.31	-	0		TOTO — in-play, struck 18:25 on an 18:00 kickoff (score at strike not recorded). NO PLAY at first sight: orange bar 1.2707 against a panel best of 1.18 (Unibet SE). Outside the board's rule; logged as taken, not as a board play	0.90
Bologna v Sassuolo	U4.5	1.39	-	0		TOTO — in-play, struck 19:17 on an 18:00 kickoff (score at strike not recorded). NO PLAY at first sight: the card was GREEN, bar 1.2128, panel best 1.15 (Pinnacle). Outside the board's rule; logged as taken, not as a board play	0.90
Trabzonspor v Gençlerbirliği	U5.5	1.62	-	0		TOTO — in-play, struck 19:38 on a 19:00 kickoff (score at strike not recorded). A lane the board does not publish: Athena starred U4.5, which was no play (green bar 1.2128, panel best 1.15) and DIED at five goals. U5.5 held. Outside the board's rule; logged as taken, not as a board play	0.90
Cremonese v Padova	U5.5	1.29	-	0		TOTO — in-play, struck 20:48 on a 19:30 kickoff (score at strike not recorded). A lane the board does not publish: Athena starred U3.5 on a RED card (bar 1.36, panel best 1.39 — price cleared but the tier says avoid), and it DIED at four goals. U5.5 held. Outside the board's rule; logged as taken, not as a board play	0.90
Watford v Preston	U3.5	1.34	-	0		TOTO — pre-kickoff, struck 6 Sep 22:07 for an 8 Sep kickoff. A WATCH card at first sight: orange bar 1.2707, panel best 1.27 Unibet SE — a hundredth short of the bar, and his own book paid 1.34, which clears it by 5.5%. Stake EUR1.10, the first at the raised size	1.10
